u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,junction,access,width,ref
25388130,252704528,0,22955592,False,2,Largo Carlo Goldoni,living_street,50,False,13.112,"LINESTRING (12.4788676 41.9046697, 12.4789222 41.904559)",,,,,,
25388195,758154256,0,220545802,True,,Piazza di San Pantaleo,residential,,False,28.697,"LINESTRING (12.4727063 41.8971861, 12.4725944 41.8970435, 12.4725704 41.8970106, 12.4725349 41.8969618)",,,,,,
25388197,25388404,0,4245346,False,4,Corso Vittorio Emanuele Secondo,tertiary,30,False,61.16000000000001,"LINESTRING (12.4733201 41.8966629, 12.4734427 41.8966243, 12.4735705 41.8965874, 12.4737115 41.8965619, 12.4738444 41.8965459, 12.4739583 41.896532, 12.4740314 41.8965258)",,,,,,
25388197,1233461509,0,107292722,True,2,Corso Vittorio Emanuele Secondo,tertiary,30,False,16.834,"LINESTRING (12.4733201 41.8966629, 12.4732436 41.8967181, 12.4731625 41.8967575)",,,,,,
25388289,358421550,0,4245347,False,,Piazza di Tor Sanguigna,residential,,True,20.16,"LINESTRING (12.4726864 41.9004415, 12.4726368 41.9003979, 12.4725407 41.9002964)",,,,,,
25388289,850866980,0,92559300,False,2,Via Giuseppe Zanardelli,tertiary,50,False,56.164,"LINESTRING (12.4726864 41.9004415, 12.4726708 41.9004561, 12.4726587 41.9004712, 12.4726369 41.9005024, 12.472467 41.9007798, 12.4723966 41.9008975)",,,,,,
25388289,677443038,0,116260698,False,2,Piazza di Tor Sanguigna,tertiary,50,False,49.78999999999999,"LINESTRING (12.4726864 41.9004415, 12.472703 41.9004327, 12.4727295 41.9004266, 12.4727497 41.9004242, 12.4727734 41.9004239, 12.4728298 41.9004261, 12.4730901 41.9004379, 12.4731681 41.9004414, 12.4732819 41.9004453)",,,,,,
25388377,309297808,0,50807562,True,2,Corso del Rinascimento,tertiary,50,False,16.3,"LINESTRING (12.473814 41.9002227, 12.473839 41.9000773)",,,,,,
25388377,1397852758,0,187776458,False,2,Piazza delle Cinque Lune,tertiary,50,True,27.021,"LINESTRING (12.473814 41.9002227, 12.4738107 41.9002716, 12.4738052 41.9003251, 12.4737989 41.9003675, 12.4737807 41.900401, 12.4737638 41.9004194, 12.4737461 41.9004309, 12.4737199 41.9004407)",,,,,,
25388387,758357762,0,128648681,False,4,Corso Vittorio Emanuele Secondo,tertiary,30,True,22.092,"LINESTRING (12.4744851 41.8964807, 12.474221 41.8965095)",,,,,,
25388387,247392542,0,128665303,False,4,Corso Vittorio Emanuele Secondo,tertiary,30,False,17.523,"LINESTRING (12.4744851 41.8964807, 12.4746949 41.8964596)",,,,,,
25388387,758357801,0,28159318,True,2,Piazza di Sant'Andrea della Valle,residential,,False,29.315,"LINESTRING (12.4744851 41.8964807, 12.4745128 41.8965656, 12.4745686 41.8967369)",,,,,,
25388389,281046403,0,48559215,False,4,Corso Vittorio Emanuele Secondo,tertiary,50,False,16.343,"LINESTRING (12.4758502 41.8963102, 12.4760299 41.8962493)",,,,,,
25388389,247392542,0,203984756,False,4,Corso Vittorio Emanuele Secondo,tertiary,30,True,97.143,"LINESTRING (12.4758502 41.8963102, 12.4757694 41.8963297, 12.4755065 41.8963671, 12.4751846 41.8964055, 12.4746949 41.8964596)",,,,,,
25388404,25388197,0,4245346,False,4,Corso Vittorio Emanuele Secondo,tertiary,30,True,61.16,"LINESTRING (12.4740314 41.8965258, 12.4739583 41.896532, 12.4738444 41.8965459, 12.4737115 41.8965619, 12.4735705 41.8965874, 12.4734427 41.8966243, 12.4733201 41.8966629)",,,,,,
25388404,758357762,0,366693993,False,4,Corso Vittorio Emanuele Secondo,tertiary,30,False,15.8,"LINESTRING (12.4740314 41.8965258, 12.4741313 41.8965183, 12.474221 41.8965095)",,,,,,
25418716,166217947,0,19735698,False,2,Piazza del Porto di Ripetta,tertiary,50,True,29.814,"LINESTRING (12.4750844 41.9049233, 12.4754432 41.9048992)",,,,,,
25418716,247331318,0,19735845,True,3,Lungotevere in Augusta,primary,50,False,214.64600000000002,"LINESTRING (12.4750844 41.9049233, 12.475096 41.9049675, 12.4751054 41.9050116, 12.4751696 41.905391, 12.4751939 41.9057513, 12.4752007 41.9058297, 12.4752002 41.9060327, 12.4751448 41.9065175, 12.4750744 41.9068427)",,,,,,
25418716,252704519,0,24179318,True,1,Piazza del Porto di Ripetta,residential,,False,40.596,"LINESTRING (12.4750844 41.9049233, 12.4752415 41.9048226, 12.4753073 41.9047754, 12.4753343 41.9047497, 12.4753494 41.9047309, 12.4753718 41.9046883, 12.4753858 41.9046471)",,,,,,
25418716,1125488271,0,"[19735692, 25752412, 25752430]",False,2,Ponte Cavour,tertiary,50,"[False, True]",130.624,"LINESTRING (12.4750844 41.9049233, 12.4749411 41.9049338, 12.4748315 41.9049417, 12.473607 41.9050315, 12.4735813 41.9050341, 12.4735134 41.9050357)",yes,,,,,
25418882,25418884,0,1086531111,True,4,Via Nazionale,tertiary,50,False,75.057,"LINESTRING (12.4952304 41.902029, 12.494543 41.9015887)",,,,,,
25418882,246150528,0,"[147125840, 147125842, 202304086]",True,"['2', '1']","['Piazza della Repubblica', 'Via Nazionale']","['tertiary', 'unclassified']",50,False,100.73,"LINESTRING (12.4952304 41.902029, 12.4953051 41.9020521, 12.49533 41.9020601, 12.4953545 41.9020685, 12.4953799 41.9020791, 12.4953956 41.9020867, 12.4954172 41.9020987, 12.4956133 41.9022228, 12.4956276 41.9022321, 12.4957577 41.9023165, 12.4958073 41.9023413, 12.4958555 41.9023617, 12.4959 41.9023783, 12.4959526 41.9023959, 12.4959972 41.902409, 12.4960478 41.9024216, 12.4961123 41.9024351, 12.4961828 41.9024481, 12.4962757 41.902462)",,,,,,
25418882,772443204,0,184686129,True,1,Via Torino,residential,,False,71.606,"LINESTRING (12.4952304 41.902029, 12.4951759 41.9021084, 12.4948366 41.9026024)",,,,,,
25418884,25418885,0,1086531111,True,4,Via Nazionale,tertiary,50,False,78.862,"LINESTRING (12.494543 41.9015887, 12.4938275 41.9011203)",,,,,,
25418884,1107360243,0,125987179,True,1,Via Firenze,residential,,False,69.786,"LINESTRING (12.494543 41.9015887, 12.4944882 41.9016626, 12.4941354 41.9021381)",,,,,,
25418884,255455536,0,125987180,True,1,Via Firenze,residential,,False,180.57899999999998,"LINESTRING (12.494543 41.9015887, 12.4945935 41.9015151, 12.4950389 41.9008709, 12.4953211 41.9004909, 12.4954569 41.9003082, 12.4955085 41.9002388, 12.4955383 41.9001986, 12.4955701 41.9001561)",,,,,,
25418885,255457313,0,125987182,True,1,Via Napoli,residential,,False,176.643,"LINESTRING (12.4938275 41.9011203, 12.4939036 41.9010659, 12.4945203 41.9006248, 12.4945806 41.9005823, 12.4953122 41.900058, 12.4953662 41.9000194)",,,,,,
25418885,25418886,0,147125844,True,4,Via Nazionale,tertiary,50,False,80.36200000000001,"LINESTRING (12.4938275 41.9011203, 12.4932227 41.9007251, 12.4932018 41.9007114, 12.4930978 41.9006435)",,,,,,
25418885,772443198,0,201475710,False,2,Via Napoli,residential,,True,68.14699999999999,"LINESTRING (12.4938275 41.9011203, 12.4937524 41.9011765, 12.49324 41.9015497)",,,,,,
25418886,25418887,0,128672638,True,4,Via Nazionale,tertiary,50,False,66.896,"LINESTRING (12.4930978 41.9006435, 12.4930238 41.9005936, 12.492499 41.9002394)",,,,,,
25418886,254528049,0,1154544610,True,2,Via Agostino Depretis,tertiary,50,False,86.114,"LINESTRING (12.4930978 41.9006435, 12.4932328 41.9005697, 12.4939276 41.9001763)",,,,,,
25418887,25418888,0,128672638,True,4,Via Nazionale,tertiary,50,False,91.897,"LINESTRING (12.492499 41.9002394, 12.4922571 41.900078, 12.4917237 41.8997364, 12.491662 41.8996964)",,,,,,
25418888,25418889,0,"[204007060, 128672638]",True,"['4', '5']",Via Nazionale,tertiary,50,False,145.79299999999998,"LINESTRING (12.491662 41.8996964, 12.4914392 41.8995525, 12.4912737 41.8994455, 12.4911297 41.8993525, 12.4910167 41.8992764, 12.4908193 41.8991436, 12.4905233 41.8989483, 12.490451 41.8989005, 12.4903418 41.8988284)",,,,,,
25418888,254528047,0,200996787,True,1,Via Genova,residential,,False,86.83900000000001,"LINESTRING (12.491662 41.8996964, 12.491731 41.8996354, 12.4922857 41.8991493, 12.4922888 41.8991466, 12.4923408 41.8991009)",,,,,,
25418888,255448433,0,1177773431,False,2,Via Genova,residential,,True,37.902,"LINESTRING (12.491662 41.8996964, 12.4915914 41.8997581, 12.4914131 41.8999147, 12.4913657 41.8999563)",,,,,,
25418889,261870618,0,"[52447705, 51940146, 4247948, 4247949]",True,"['2', '3']","['Via Milano', 'Via del Traforo', 'Traforo Umberto I', 'Traforo Umberto Primo']",tertiary,50,False,506.86899999999997,"LINESTRING (12.4903418 41.8988284, 12.4902181 41.89893, 12.4901871 41.8989552, 12.4897331 41.8993234, 12.4896048 41.8994339, 12.4893209 41.8996671, 12.4891578 41.8998095, 12.4885346 41.9003526, 12.4865611 41.9020733, 12.4865373 41.9020905, 12.4863094 41.9022577)",,yes,,,,
25418889,25418891,0,137470200,True,4,Via Nazionale,tertiary,50,False,35.578,"LINESTRING (12.4903418 41.8988284, 12.4902495 41.8987664, 12.4900226 41.8986141)",,,,,,
25418891,1578078710,0,137470200,True,4,Via Nazionale,tertiary,50,False,41.2,"LINESTRING (12.4900226 41.8986141, 12.4896547 41.8983645)",,,,,,
25418895,564995645,0,44457234,True,1,Via Mazzarino,residential,,False,101.91399999999999,"LINESTRING (12.4880626 41.8973291, 12.4880315 41.89734, 12.4879967 41.89735, 12.4879651 41.8973581, 12.4879297 41.8973654, 12.4872781 41.8974834, 12.4870124 41.8975339, 12.4868717 41.897559)",,,,,,
25418895,25418897,0,292493447,True,4,Via Nazionale,tertiary,50,False,114.045,"LINESTRING (12.4880626 41.8973291, 12.4873437 41.8968725, 12.4872215 41.8967958, 12.4871326 41.8967288, 12.4870163 41.8966625)",,,,,,
25418897,256575371,0,23694687,True,2,Largo Magnanapoli,tertiary,50,False,24.322,"LINESTRING (12.4870163 41.8966625, 12.4867825 41.89653)",,,,,,
25418897,595659429,0,23590149,False,2,Via Ventiquattro Maggio,tertiary,50,False,46.899,"LINESTRING (12.4870163 41.8966625, 12.4870042 41.8967583, 12.4869658 41.8970826)",,,,,,
25418915,270325411,0,48029338,False,,Via Cavour,secondary,50,False,10.823,"LINESTRING (12.4998175 41.9008288, 12.4997363 41.9007525)",,,,,,
25418915,1351150950,0,"[512482225, 106132629]",True,3,Piazza dei Cinquecento,secondary,50,False,120.011,"LINESTRING (12.4998175 41.9008288, 12.4995923 41.9009626, 12.4995302 41.9009997, 12.4994644 41.9010407, 12.4994103 41.9010745, 12.4993822 41.9010924, 12.49935 41.9011144, 12.4993198 41.9011353, 12.4992856 41.9011603, 12.4992387 41.9011951, 12.4992029 41.9012264, 12.4991698 41.9012576, 12.4991396 41.9012891, 12.4991134 41.9013205, 12.4990926 41.9013487, 12.499057 41.9014002, 12.4989913 41.901508, 12.4989436 41.9015854, 12.498914 41.9016447)",,,,,,
25418916,270325411,0,"[48029337, 724650166]",False,4,Via Cavour,secondary,50,True,62.147999999999996,"LINESTRING (12.4992668 41.9003165, 12.499554 41.900575, 12.4996005 41.9006168, 12.4997363 41.9007525)",,,,,,
25418916,252714294,0,"[108570432, 463255166]",True,1,Via Giovanni Amendola,residential,,False,186.088,"LINESTRING (12.4992668 41.9003165, 12.4994149 41.9002227, 12.4996933 41.9000524, 12.4998029 41.8999854, 12.4998274 41.8999715, 12.4998514 41.8999589, 12.4998727 41.8999483, 12.4998922 41.8999397, 12.4999192 41.8999291, 12.4999399 41.899922, 12.4999564 41.8999167, 12.4999755 41.89991, 12.4999991 41.8999006, 12.5000187 41.8998917, 12.500039 41.8998818, 12.5000524 41.8998746, 12.5001263 41.8998311, 12.500943 41.8993346, 12.501019 41.8992737)",,,,,,
25418916,4585419317,0,242345820,False,4,Via Cavour,secondary,50,False,73.43,"LINESTRING (12.4992668 41.9003165, 12.4991769 41.9002345, 12.4987063 41.8998046)",,,,,,
25418918,25418919,0,107254160,False,4,Via Cavour,secondary,50,False,75.947,"LINESTRING (12.4980573 41.8992075, 12.4976303 41.898807, 12.4975983 41.898777, 12.4974872 41.8986723)",,,,,,
25418918,4150909524,0,"[178469121, 242345821, 178469119]",False,2,Via Farini,tertiary,50,False,177.21400000000003,"LINESTRING (12.4980573 41.8992075, 12.4981436 41.899153, 12.4981912 41.8991229, 12.4984779 41.898942, 12.4987995 41.8987435, 12.498876 41.8986963, 12.4989835 41.8986322, 12.4990134 41.8986143, 12.499037 41.8986, 12.4995597 41.8982821, 12.4996975 41.8981962, 12.4997066 41.8981913)",,,,,,
25418918,4585419317,0,242345819,False,4,Via Cavour,secondary,50,True,85.403,"LINESTRING (12.4980573 41.8992075, 12.498174 41.8993151, 12.4986433 41.899748, 12.4987063 41.8998046)",,,,,,
25418919,32633413,0,4949729,True,1,Via Torino,residential,,False,92.492,"LINESTRING (12.4974872 41.8986723, 12.4974154 41.8987756, 12.496998 41.8993891, 12.4969811 41.8994139)",,,,,,
25418919,25418918,0,107254160,False,4,Via Cavour,secondary,50,True,75.947,"LINESTRING (12.4974872 41.8986723, 12.4975983 41.898777, 12.4976303 41.898807, 12.4980573 41.8992075)",,,,,,
25418919,669160650,0,107254181,True,2,Piazza dell'Esquilino,secondary,50,False,29.791,"LINESTRING (12.4974872 41.8986723, 12.4973452 41.8985847, 12.4973176 41.8985655, 12.4972824 41.8985403, 12.4972513 41.8985159, 12.4972218 41.8984919)",,,,,,
25418922,2141800773,0,23328037,False,2,Via di Santa Maria Maggiore,tertiary,30,False,21.472,"LINESTRING (12.4960073 41.8973743, 12.4957563 41.8973255)",,,,,,
25418922,4286174885,0,24876797,True,1,Via di Santa Maria Maggiore,residential,50,False,128.94400000000002,"LINESTRING (12.4960073 41.8973743, 12.4961713 41.8974017, 12.4973869 41.8976047, 12.4975274 41.8976282)",,,,,,
25418922,669174322,0,"[232183088, 137470196]",False,4,Via Cavour,secondary,50,False,114.072,"LINESTRING (12.4960073 41.8973743, 12.4961832 41.8975383, 12.4966205 41.8979277, 12.4967977 41.898091, 12.4968316 41.8981209, 12.4968832 41.8981663)",,,,,,
25418922,252609162,0,189465651,False,4,Via Cavour,secondary,50,True,223.238,"LINESTRING (12.4960073 41.8973743, 12.495885 41.8972597, 12.4957669 41.8971506, 12.4950416 41.8964541, 12.4943572 41.8957863)",,,,,,
25418929,246147728,0,189465645,False,2,Largo Visconti Venosta,tertiary,50,True,39.629,"LINESTRING (12.4932459 41.8946669, 12.493701 41.8947776)",,,,,,
25418929,1107496231,0,189465646,False,4,Largo Visconti Venosta,secondary,50,False,40.96,"LINESTRING (12.4932459 41.8946669, 12.4935355 41.8949656)",,,,,,
25418929,246142109,0,"[122185766, 232183086]",False,4,Via Cavour,secondary,50,True,195.75499999999997,"LINESTRING (12.4932459 41.8946669, 12.4931284 41.8946368, 12.4921494 41.894392, 12.4911554 41.8941364, 12.4911148 41.8941275, 12.4910066 41.8941007)",,,,,,
25418933,9193670040,0,190022892,False,4,Largo Corrado Ricci,residential,50,True,13.972,"LINESTRING (12.4878737 41.8933059, 12.4879197 41.8933042, 12.4879602 41.8933049, 12.4879969 41.8933085, 12.48804 41.8933187)",,,,,,
25419073,32630947,0,32454491,True,2,Piazza Venezia,tertiary,50,False,26.194,"LINESTRING (12.4822238 41.8966841, 12.481922 41.8966132)",,,,,,
25419073,309302518,0,"[366692686, 366692687, 108565606, 22979103]",False,2,Via del Corso,unclassified,30,False,448.47499999999997,"LINESTRING (12.4822238 41.8966841, 12.4821556 41.8967573, 12.4821355 41.8968053, 12.4821202 41.896842, 12.4820954 41.8968996, 12.4819172 41.8973132, 12.4819046 41.8973419, 12.4819007 41.897356, 12.4815527 41.8982222, 12.4814433 41.8984775, 12.4813313 41.8987522, 12.4812642 41.898929, 12.4812471 41.8989704, 12.4811413 41.899251, 12.4811137 41.8993244, 12.4810908 41.8993849, 12.4809614 41.8997138, 12.4809526 41.8997362, 12.4809316 41.8997899, 12.4808237 41.9000594, 12.4808159 41.900079, 12.4808036 41.900112, 12.4806177 41.9005312)",,,,,,
25419073,2390153661,0,290492198,True,3,Piazza Venezia,tertiary,50,False,11.639,"LINESTRING (12.4822238 41.8966841, 12.4821685 41.8966277, 12.4821394 41.8966004)",,,,,,
25419086,878856319,0,28157912,False,2,Via del Parlamento,residential,,False,42.916,"LINESTRING (12.4797832 41.9024786, 12.4797106 41.9024625, 12.4793419 41.9023726, 12.4792898 41.9023599)",,,,,,
25419086,309303592,0,49305153,True,2,Via del Corso,unclassified,50,False,73.119,"LINESTRING (12.4797832 41.9024786, 12.4798279 41.9024271, 12.4800639 41.9018573)",,,,,,
25643495,9657623428,0,23764187,False,2,Via dei Liburni,residential,,False,112.32900000000001,"LINESTRING (12.5123286 41.8998199, 12.5123149 41.8998501, 12.5122966 41.8998836, 12.5122337 41.8999909, 12.5122059 41.9000412, 12.5121876 41.9000805, 12.5121781 41.9001068, 12.5121686 41.900137, 12.5121613 41.9001698, 12.5121552 41.9002096, 12.5121524 41.9002461, 12.5121399 41.900768, 12.512138 41.900807)",,,,,,
25643495,257483809,0,309961871,True,1,Via dei Ramni,secondary,50,False,103.765,"LINESTRING (12.5123286 41.8998199, 12.5122333 41.8997832, 12.5114127 41.8994669, 12.5113754 41.8994505, 12.5113407 41.8994341, 12.5113113 41.8994179, 12.5112846 41.8994016, 12.5112365 41.8993671)",,,,,,
25643607,257752686,0,4269924,False,4,Viale Pretoriano,secondary,50,True,231.24099999999999,"LINESTRING (12.5082356 41.9005342, 12.5088034 41.8994982, 12.5091975 41.8987659, 12.5092281 41.8987089, 12.5092882 41.8986079)",,,,,,
25643607,270197928,0,755551211,False,2,,secondary,,False,42.969,"LINESTRING (12.5082356 41.9005342, 12.5081139 41.9007616, 12.5080435 41.9008932)",,,,,,
25643610,270197928,0,755551211,False,2,,secondary,,True,14.314,"LINESTRING (12.5079782 41.9010124, 12.5080435 41.9008932)",,,,,,
25643610,2582362059,0,755551211,False,2,,secondary,,False,195.898,"LINESTRING (12.5079782 41.9010124, 12.5079425 41.9010785, 12.5079208 41.9011184, 12.5074754 41.9019368, 12.507085 41.9026439)",,,,,,
25643620,2582362059,0,1091508897,False,2,,secondary,,True,15.618,"LINESTRING (12.5070116 41.9027733, 12.507085 41.9026439)",,,,,,
25643620,1243130446,0,4276749,False,4,Viale Castro Pretorio,secondary,50,False,34.317,"LINESTRING (12.5070116 41.9027733, 12.5069593 41.9028651, 12.5069372 41.9029046, 12.5069058 41.9029694, 12.5068968 41.9029906, 12.5068892 41.9030107, 12.5068812 41.9030377, 12.5068745 41.9030637)",,,,,,
25643620,1243130452,0,108327333,False,4,Via del Castro Pretorio,tertiary,50,True,7.592,"LINESTRING (12.5070116 41.9027733, 12.5069928 41.9027628, 12.5069754 41.9027522, 12.5069579 41.9027407, 12.5069418 41.9027291)",,,,,,
25643620,1243130415,0,108327348,False,4,Viale dell'Università,tertiary,50,True,10.138000000000002,"LINESTRING (12.5070116 41.9027733, 12.5070715 41.9027938, 12.5071229 41.9028114)",,,,,,
25643633,1243130446,0,108327346,False,4,Viale Castro Pretorio,secondary,50,True,85.27400000000002,"LINESTRING (12.5068594 41.9038302, 12.5068616 41.903807, 12.506863 41.9037844, 12.5068648 41.9034266, 12.5068639 41.9032035, 12.5068644 41.9031739, 12.5068663 41.9031453, 12.506868 41.903117, 12.506871 41.9030897, 12.5068745 41.9030637)",,,,,,
25643633,258995599,0,185812466,False,4,Viale Castro Pretorio,secondary,50,False,69.756,"LINESTRING (12.5068594 41.9038302, 12.5068554 41.9038501, 12.5068506 41.9038705, 12.5068434 41.9038898, 12.5068333 41.9039102, 12.5068219 41.90393, 12.5068077 41.9039501, 12.5067895 41.9039722, 12.506772 41.9039898, 12.5067504 41.9040095, 12.5066394 41.9041089, 12.5065467 41.904194, 12.5065108 41.9042281, 12.5064722 41.9042652, 12.5064345 41.9043033, 12.5063942 41.9043444)",,,,,,
25643643,315110325,0,28674038,True,3,Viale Castro Pretorio,secondary,50,False,193.223,"LINESTRING (12.5054854 41.9062237, 12.5054544 41.9063653, 12.5054448 41.9064001, 12.5054326 41.906437, 12.505418 41.9064755, 12.5054008 41.906516, 12.5050265 41.9073129, 12.5047632 41.9078737)",,,,,,
25643643,296377275,0,200858508,False,2,Via San Martino della Battaglia,tertiary,50,True,104.446,"LINESTRING (12.5054854 41.9062237, 12.5054342 41.9061918, 12.5053003 41.9061084, 12.5045641 41.9056498, 12.5045175 41.9056209)",,,,,,
25643643,503717915,0,"[200858512, 200858510, 200858511]",False,4,Viale Castro Pretorio,secondary,50,True,120.25399999999999,"LINESTRING (12.5054854 41.9062237, 12.5055735 41.9060332, 12.5056238 41.9059244, 12.5056795 41.9058038, 12.5058088 41.9055241, 12.5059527 41.9051997)",,,,,,
25643645,415340491,0,35405891,True,1,,tertiary,50,False,10.246,"LINESTRING (12.5046647 41.908063, 12.5047014 41.908151)",,,,,,
25643645,1090524803,0,106749724,True,2,,secondary,50,False,12.019,"LINESTRING (12.5046647 41.908063, 12.5045546 41.9081335)",,,,,,
26618754,270545260,0,"[24164248, 24164249, 24164250]",True,2,"['Piazza di Porta Maggiore', 'Viale dello Scalo San Lorenzo']",secondary,50,False,174.56400000000002,"LINESTRING (12.5154927 41.8922274, 12.5154794 41.8922388, 12.5154686 41.8922519, 12.5154602 41.8922754, 12.5154594 41.8922933, 12.5154638 41.8923104, 12.5154751 41.8923265, 12.5159069 41.892818, 12.5160067 41.8929324, 12.5162107 41.8931662, 12.516547 41.8935511)",,,,,,
26618754,26618757,0,"[998191592, 998191593, 145203698, 145203700]",True,2,"['Piazzale Labicano', 'Piazza di Porta Maggiore']",secondary,50,False,52.697,"LINESTRING (12.5154927 41.8922274, 12.5153746 41.8922551, 12.515333 41.8922619, 12.5152906 41.8922668, 12.5152497 41.8922691, 12.5152064 41.892267, 12.5151692 41.8922634, 12.5151353 41.8922582, 12.5148666 41.8922332)",,building_passage,,,,
26618757,267350289,0,"[24593794, 24450967]",True,2,Piazza di Porta Maggiore,secondary,50,False,98.418,"LINESTRING (12.5148666 41.8922332, 12.5147755 41.8921814, 12.514747 41.8921666, 12.5147199 41.8921538, 12.5146929 41.8921428, 12.5146736 41.892136, 12.5145857 41.8921092, 12.5145478 41.8920929, 12.5144927 41.8920604, 12.5142318 41.8918743, 12.5141941 41.8918469, 12.514166 41.891827, 12.5141397 41.8918029, 12.5141219 41.8917791, 12.5141113 41.891759, 12.5141071 41.8917412, 12.5141061 41.8917214, 12.5141029 41.8916207)",,,,,,
26618757,1245400284,0,"[95640017, 202486292]",True,"['2', '4']",Piazza di Porta Maggiore,secondary,50,False,36.043,"LINESTRING (12.5148666 41.8922332, 12.5147142 41.8922146, 12.5146758 41.8922091, 12.5146401 41.8922036, 12.5146117 41.892198, 12.514586 41.8921923, 12.5145335 41.8921792, 12.5144848 41.8921653, 12.5144471 41.892152)",,,,,,
26618764,26618754,0,81754938,True,3,Piazzale Labicano,secondary,50,False,54.085,"LINESTRING (12.5159993 41.8919212, 12.5159691 41.891944, 12.5159373 41.8919675, 12.5159142 41.8919837, 12.5158898 41.8919999, 12.5158342 41.8920343, 12.5157624 41.8920763, 12.5154927 41.8922274)",,,,,,
26619072,255121657,0,24450965,True,1,Via Giovanni Giolitti,secondary,50,False,29.089,"LINESTRING (12.5132546 41.8928151, 12.5129808 41.8929791)",,,,,,
26619072,255121652,0,23560099,False,2,Via Achille Grandi,residential,,True,73.601,"LINESTRING (12.5132546 41.8928151, 12.5132241 41.8927868, 12.5127883 41.8923551, 12.5127713 41.8923374, 12.5127542 41.8923181, 12.5127407 41.8923012, 12.5127271 41.8922827)",,,,,,
26619081,252712466,0,23337949,True,2,Via Giovanni Giolitti,secondary,50,False,101.977,"LINESTRING (12.5108331 41.8942817, 12.5107169 41.8943468, 12.509995 41.8947805, 12.5098707 41.8948542)",,,,,,
26619712,26619713,0,"[876256104, 24900120]",True,3,Via di Porta San Lorenzo,secondary,50,False,64.491,"LINESTRING (12.5107947 41.8966964, 12.5107709 41.8967169, 12.5107074 41.8967788, 12.5103133 41.8971524)",,,,,,
26619713,257751155,0,24900120,True,3,Via di Porta San Lorenzo,secondary,50,False,108.42399999999998,"LINESTRING (12.5103133 41.8971524, 12.5099554 41.8974949, 12.5098091 41.8976292, 12.5095273 41.8978877, 12.5094974 41.8979152)",,,,,,
32629776,2137499023,0,"[203752585, 40636076]",False,,"['Piazza Pollarola', 'Piazza del Teatro di Pompeo']",residential,,True,72.689,"LINESTRING (12.4725344 41.8962536, 12.4728144 41.8960405, 12.4732284 41.895863)",,,,,,
32630066,1380954832,0,22951250,False,6,Via della Greca,secondary,50,False,35.14,"LINESTRING (12.4822503 41.8871939, 12.4822306 41.8872093, 12.482199 41.887234, 12.4821281 41.887292, 12.4820889 41.8873198, 12.4819509 41.8874177)",,,,,,
32630066,266008000,0,"[24468731, 106205318]",True,,Clivo dei Publicii,residential,,False,243.44599999999997,"LINESTRING (12.4822503 41.8871939, 12.482233 41.8871469, 12.4822277 41.8871175, 12.4822287 41.887085, 12.482234 41.8870492, 12.4822414 41.8870155, 12.4822521 41.8869834, 12.4822665 41.8869473, 12.4822841 41.8869127, 12.4824408 41.8866544, 12.4829102 41.8860458, 12.482931 41.8860174, 12.48295 41.8859882, 12.4829636 41.8859646, 12.4829672 41.8859529, 12.482971 41.8859327, 12.4829708 41.885913, 12.4829655 41.8858914, 12.4829569 41.8858657, 12.4829504 41.8858501, 12.4828532 41.8856382, 12.4828404 41.8856163, 12.4828246 41.8855941, 12.4828088 41.885575, 12.4827905 41.8855561, 12.4827721 41.8855403, 12.4825632 41.8853753, 12.4825414 41.885359, 12.4825217 41.8853471, 12.4825032 41.8853363, 12.482464 41.8853151, 12.4824368 41.8853022, 12.4824106 41.8852916)",,,,,,
32630066,32650405,0,"[10140730, 106205316]",False,"['4', '5']",Via dell'Ara Massima di Ercole,secondary,50,True,138.71800000000002,"LINESTRING (12.4822503 41.8871939, 12.4824391 41.8873592, 12.4824841 41.8874019, 12.4830899 41.8879717, 12.4831395 41.8880183, 12.4831689 41.888059, 12.4832606 41.8881857)",,,,,,
32630066,32630067,0,106205317,False,5,Via del Circo Massimo,secondary,50,False,153.721,"LINESTRING (12.4822503 41.8871939, 12.4824222 41.8870579, 12.4831342 41.8864946, 12.4832457 41.8864108, 12.4833025 41.8863693, 12.4833626 41.886327, 12.4834237 41.8862853, 12.483488 41.8862428, 12.4835467 41.8862051)",,,,,,
32630067,264896612,0,22908202,True,2,Via del Circo Massimo,secondary,50,False,86.853,"LINESTRING (12.4835467 41.8862051, 12.4838704 41.8859425, 12.4840706 41.8857979, 12.4842066 41.8857045, 12.4842839 41.88565)",,,,,,
32630067,32630066,0,106205317,False,5,Via del Circo Massimo,secondary,50,True,153.721,"LINESTRING (12.4835467 41.8862051, 12.483488 41.8862428, 12.4834237 41.8862853, 12.4833626 41.886327, 12.4833025 41.8863693, 12.4832457 41.8864108, 12.4831342 41.8864946, 12.4824222 41.8870579, 12.4822503 41.8871939)",,,,,,
32630947,364857900,0,32454490,True,4,Piazza Venezia,tertiary,50,False,55.506,"LINESTRING (12.481922 41.8966132, 12.4820861 41.8961292)",,,,,,
32630947,309297121,0,28159703,True,2,Via del Plebiscito,tertiary,50,False,144.613,"LINESTRING (12.481922 41.8966132, 12.4817575 41.8965747, 12.4803518 41.8962846, 12.48024 41.8962615)",,,,,,
